"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Kameroad & Schoaveling; redders van het Gentse dialect ?","Gent beleeft de grootste crisis sinds zijn ontstaan; het dreigt zijn taal te verliezen.Kameroad en Schoaveling kruipen in de huid van de koppige en fiere Gentenaar die strijd voert om zijn dialect te beschermen tegen allerlei invloeden..",25/07/2011,"20:00","22:00","Turnzaal Oefenschool Wispelberg Coupure Rechts 54, 9000 Gent, Coupure 54, Gent",1,50
"Belfort Privilege Quest","Ontdek het Belfort met haar donkere geheimen. Speel samen of tegen elkaar enkele opdrachten in en rond het Belfort. Kom zo te weten welk privilege jou toekomt na het kraken van de code. Met GPS 12 EUR, zonder GPS 7 EUR. Excl. toegangsprijs.",16/07/2011,"10:00","17:00","Belfort, Sint-Baafsplein , Gent",0,50
"mozaïek in het Pierkespark","Gratis mozaïekworkshop. Paadjes en banken worden met mozaïek bekleed. Alle materialen zijn voorhanden. Ontwerp is al voorbereid door kunstenares.",17/07/2011,"13:30","18:00","Pierkespark Brugse Poort tussen Kringloopwinkel en Bij De Vieze Gasten, Haspelstraat 10, Gent",0,50
"Mustang (BE)","Brusselse trots en residents van de Libertine Supersport. Renaud (Cosy Mozzy) en Andy staan voor het tweede jaar op rij op 10 Days Off en brachten intussen ep’s uit op Gomma, Abracada en Different Recordings. Italo, disco, vroege house en pop!",25/07/2011,"23:00","05:55","10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000
"Fotografietentoonstelling Ground van Bruno Stevens","Fotojournalist Bruno Stevens brengt in een 100-tal foto’s het resultaat van de ontmoetingen en gebeurtenissen van de voorbije 10  jaar in het Midden-Oosten. Deze foto’s verschenen in bvb. The Sunday Times, Newsweek, Paris-Match, etc.",19/07/2011,"10:00","18:00","Kunsthal Sint-Pietersabdij, Sint-Pietersplein 9, Gent",0,50
"Prietproat, blabla en andere ziever.","Gentse feestenrevue met grappen en sketches in 't schuun Gents door de Kloaverkes met als onderwerp TAAL in al zijn vormen. De show wordt afgewisseld met liedjes van BETSY en komische goochelacts van het duo ROBINI en BALDARNY. Muziek: Marco's orkest.",22/07/2011,"19:30","22:45","VIP School, Martelaarslaan 13, Gent",0,50
"Afscheid van de waalse krook","Tentoonstelling Michel Flamme, Sarah Van de Vijver, Prez",24/07/2011,"14:00","23:00","usEUm, Platteberg 19, Gent",0,50
"Filmvoorstelling : kortfilm De Veer van César","hoofdrol Pjeroo Roobjee, gastrollen Jan Decleir, Robbe de Hert, Peter Holvoet-Hanssen",17/07/2011,"14:00","18:00","Zebrastraat NV, Zebrastraat 32/001, Gent",1,100
"Open en Bloot","We snuisteren in andermans brieven, loeren door het sleutelgat en komen zo alles te weten over het privéleven en de zoektocht naar privacy vroeger en nu. ...someone is watching you!",24/07/2011,"10:30","12:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Expo  Mbongeni BUTHELEZI  (Zuid-Afrika)","Mbongeni BUTHELEZI is opgegroeid in Soweto, Johannesburg. Zijn schilderijen zijn een optimistische weergave van het leven in een township. Hij heeft een techniek ontwikkeld waarbij hij gerecycleerde plastic verpakkingen smelt met een hete lucht blazer.",18/07/2011,"16:00","21:00","tse-tse-art gallery hedendaagse afrikaanse kunst, Sint-Joriskaai 18, Gent",1,50
"New Orleans Jazz met The Rudy Balliu  Society Serenaders","Echte,zuivere New Orleans Jazz",25/07/2011,"20:00","00:00","Zaal van K. Roeivereniging Sport Gent, Kanodreef 1, Gent",1,100
"Rondleidingen in de Etnografische Verzamelingen: Levenswijsheid en geluk! Verrassende voorwerpen uit het traditionele China","Enthousiaste gidsen vertellen bijzondere verhalen over voorwerpen uit het vroegere China. Ga mee op avontuur in de rijke wereld van de Aziatische cultuur en kom in contact met de oosterse wijze van denken en leven en raak vertrouwd met hun esthetiek.",23/07/2011,"15:00","16:30","Het Pand, Onderbergen 1, Gent",0,50
"Feestelijk Tangosalon","In Dans-en Vormingscentrum Polariteit is er een Tangosalon met mooie Tango's, Milonga's en Tangowalsen. Kan je deze dansen nog niet ? Geen nood op 26/7 organiseren we een initiatie Tango, 27/7 Milonga en op 28 juli  Tangowals. Info: www.polariteit.be",22/07/2011,"21:00","01:00","vzw Polariteit, Verkortingstraat 55, Sint-Amandsberg",1,100
"Goe Bezig!","Martin zwiept zijn bezem doorheen de heetste hangijzers die ons dagelijks schaamteloos worden aangereikt. De Dalai Lama, Luc Versteylen, Roger Van Gheluwe - en verder veel ander nieuws over onze politici en over uzelf...",17/07/2011,"19:30","20:45","Zaal Ovaki, Ham 139, Gent",0,50
"De Vijand","Mefistofeles vertelt het verhaal van Faust. Vrij naar Goethe.",22/07/2011,"17:30","18:30","Hof Van Ryhove, Onderstraat 20, Gent",1,50
"Tomorrow is the Question | Collectie S.M.A.K.","S.M.A.K.stelt een deel van haar omvangrijke collectie tentoon.",23/07/2011,"10:00","18:00","S.M.A.K., Citadelpark 2, Gent",0,50
"Kinderdans","Samen de wereld ronddansen zowel op moderne- als op wereldmuziek. Voel je de danskriebels al?",19/07/2011,"16:30","17:30","Landgoed De Campagne, Gijzelstraat 12, Drongen",0,50
"Open viltatelier","Vilten is hip! Deze oeroude techniek, waarbij je van wol vilt maakt, vind je vandaag in juwelen, tassen en zelfs tapijten. Koop een zakje wol en ontdek de basisknepen van het vilten. Kom en ga, zoals jij het wilt.",21/07/2011,"14:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Spel XL","Kinderen kunnen zich hier amuseren op een aantal reuzespellen.",22/07/2011,"13:00","19:00","Wolterslaan 16, Sint-Amandsberg",0,50
"Diertjes knuffelen","De kinderen kunnen een aantal kleinere diertjes (konijnen, cavia's) knuffelen",20/07/2011,"14:00","17:00","Schoolhoeve de Campagne, Gijzelstraat 14, Drongen",0,1000
"Falling Man","Trash / Psychedelic / Rock",25/07/2011,"03:00","04:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Geleid bezoek  St.-Baafskathedraal","rondleiding in de St.-Baafskathedraal",22/07/2011,"10:30","12:00","St.-Baafskathedraal, Sint-Baafsplein , Gent",0,50
"Willem de Zwijger en zijn band met Gent. ","Gastheer : Prof. Matthias Storme. We ontdekken de politiek van Willem van Oranje en de historische plaatsen in Gent die daar betrekking op hebben. Uiteraard vergeten we de Pacificatie van Gent niet!",18/07/2011,"10:30","12:30","Pacificatiehuis, Burgstraat 55, Gent",0,50
"Hotel Jarretelle","De langbenige Pascale Platel verhuurt u graag een kamer voor de nacht en gluurt met u door het sleutelgat naar haar extravagante gasten. Delicieuse dames, burlesque bunnies en drinks on the rocks, welkom in onze cabareteske suite deluxe!",24/07/2011,"20:00","21:30","Balzaal, Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Robert Schumann: Papillons Op. 2, Pianokwintet Op. 44","met Prof. Lilia Umnova, Ljudmila Garbuza, Alexander Pavtchinskij, Bart Verhaeghe",18/07/2011,"20:00","21:00","KANTL, Koningstraat 18, Gent",0,50
"Belleman Jean-Pierre Van De Perre","Belleman te zien in het straatbeeld is ter beschikking van de bevolking en feestvierders bij de rondgang van de stroppendragers.",22/07/2011,"16:00","20:00","Feestzone, Belfortstraat , Gent",0,50
"Speciale rondleiding ‘Achter de schermen’ in de Etnografische Verzamelingen.","Hoe wordt een voorwerp een museumstuk? Komt elke gift in een vitrine? Werp eens een blik in de reserves. Pas zelf een paar witte handschoenen en betast eens een voorwerp en kom meer te weten over conservatie.   Plaatsen beperkt; reserveren verplicht!",18/07/2011,"14:00","15:30","Het Pand, Onderbergen 1, Gent",0,50
"Museumspel Het Blote Knieënspel","Een zoektocht naar het leven van vroeger. Wat at een rijk kind? Hoe zag een bakkersoven er uit? Waar werkten de kinderen? Met een doeboekje ga je van speelkast naar speelkast. Van 6 tot 12 jaar.",20/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",21/07/2011,"12:30","14:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Camiel van Breedam, een modern kunstenaar op bezoek in de Etnografische Verzamelingen","De kunstenaar Camiel van Breedam laat zich inspireren door etnografische objecten. Kom een poëtisch deeltje van zijn oeuvre ontdekken en deel zijn verwondering. Wilt u meer weten over deze intrigerende dialoog tussen voorwerpen, vraag het gerust!",20/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",0,50
"'t Weeuwken van de Muide","Na acht uitverkochte voorstellingen in het Cultureel Centrum Meulestede, wordt deze bekende Gentse straatoperette hernomen op dezelfde locatie. Theater en zang brengen het publiek in vervoering te midden van een aangrijpend decor.",19/07/2011,"19:00","21:40","Cultureel Centrum Meulestede, Meulesteedsesteenweg 515, Gent",1,1000
"Dineren in 't Prinsenhof","We kuieren door het Prinsenhof en duiken in een verleden van hertogen, industriebaronnen én paters. De Augustijnen stellen hun deuren open en nodigen ons uit voor het diner. Ook voor aperitief en dessert worden we op ongewone locaties verwacht.",24/07/2011,"18:00","21:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Zoon","Raf Walschaerts vertelt al meer dan 20 jaar sterke verhalen met Kommil Foo. Deze keer staat hij alleen op scene, in een regie van Ineke Nijssen. Voor iedereen van 9 tot 99 jaar.  www.rafwalschaerts.be",21/07/2011,"19:30","20:55","NTGent, Sint-Baafsplein 17, Gent",0,50
"Ondeugend Gent","Een wandeling over erotiek, afrodisiacum, potentie. Kortom alles wat je wil weten over ""ondeugend Gent"". smakelijk verteld met een pikant sausje.",20/07/2011,"14:30","16:30","AC Zuid, Woodrow Wilsonplein 1, Gent",0,50
"Theeconcert - Erika Pauwels","Erika Pauwels in samenwerking met de Dienst Feestelijkheden. Zij presenteert jong zangtalent in opera-, operette- en musicalfragmenten.",24/07/2011,"14:30","17:00","Vlaamse Opera, Schouwburgstraat , Gent",0,50
"De diamanten stem","Zangwedstrijd voor iedereen van 10 tot 99 jaar  Schiftingen op zondag 17/11 , donderdag 21/07.  Halve finale op zaterdag 23 juli  Finale op zondag 24 juli",24/07/2011,"14:00","14:00","SIVI, Maïsstraat 20, Gent",1,100
"Trio Gerardimontensis (B - Geraardsbergen)","Orgel, viool en zang",17/07/2011,"15:00","16:00","Sint-Michielskerk, Sint-Michielsplein 1, Gent",0,1000
"Van paupers tot poorters","In alle grote steden en in alle tijden is er armoe geweest. Ook Gent ontsnapt er niet aan. In deze wandeling leert u alles over de geschiedenis van de armoede in Gent. In Gent zijn vele relicten te vinden die herinneren aan deze strijd tegen de armoede.",23/07/2011,"14:00","16:30","Café Trefpunt, Bij Sint-Jacobs 18, Gent",0,50
"Kiss Me You Fool","Dansfeest",15/07/2011,"22:00","00:00","Tijuana, Schuurkenstraat 2, Gent",1,1000
"Iets om van te huilen","Iets om van te huilen is een nieuwe tekst van de hand van Jibbe Willems. Hij schreef dit stuk voor de Gentse acteurs Bert Verbeke (bekend uit Thuis) en Debbie Crommelinck (bekend uit Amika). Een stuk over prille, ware Liefde met een bittere nasmaak.",23/07/2011,"22:00","23:15","Minardschouwburg, Walpoortstraat 15, Gent",1,1000
"Lady Bird - De mooiste liedjes uit de jazz- en popmuziek","Lady Bird - Rik Deckers (piano) en Maria Euwema (zang) brengen een heerlijke reis door de jazz- en popmuziek. Van Ella Fitzgerald over Katie Melua naar Leonard Cohen en Bruno Mars. Even wegdromen buiten het feestgedruis...",20/07/2011,"19:30","21:00","Rabotkerk, Begijnhoflaan 31, Gent",1,100
"Tentoonstelling restauratie barokschilderij","Restauratie van het reuzegroot schilderij ""Afkoop van christelijke slaven door de Trinitariërs"" van Jan Van Cleef, 1681.",24/07/2011,"14:30","17:30","Sint-Jacobskerk, Bij Sint-Jacobs , Gent",0,1000
"Stand-Up 4 Kids","Uniek in Vlaanderen! Stand-up comedian Piv Huvluv, volgens DE STANDAARD één van de meest authentieke comedians van Vlaanderen, ziet zijn jong publiek voor vol aan. Lol, doordenkers, creatieve vondsten en geslaagde improvisaties.(zie ook www.xlp.be)",23/07/2011,"15:00","16:00","Theater Tinnenpot, Balkonzaal, Tinnenpotstraat 21, Gent",1,100
"Gentse Buitenband - Start Zwijnaarde","Recreatieve fietstocht doorheen de groene gordel rond Gent. 25km: Gentse Parkentocht,45km:Kalanchoëroute, 80km:De Gentse Buitenband,90km:De Tiegembergroute(voor wielertoeristen) Maaltijd: Warme beenhesp met frieten,V €13-K €8.Info: 0472/60 04 92",24/07/2011,"08:00","15:00","Hoeve Broché, Krekelstraat 17, Zwijnaarde",1,5000
"Kuitbeen (voorstelling) - WiSPER (BE)","De voorstelling van de workshop van Isabelle Handschoenserker waarbij de deelnemers op zoek gaan naar beelden en theatrale vormen.",24/07/2011,"14:00","14:30","Astridpark, Ferdinand Lousbergskaai , Gent",0,50
"Vitalski - De Gelaarsde Kat","Een hilarische vertelling zoals alleen Vitalski dit kan; een roetsjbaan van krankzinnige vondsten, erotische bespiegelingen en indringende filosofieën. 70 minuten doorlachen, ook voor mensen die toevallig met een depressie de zaal binnen komen...",18/07/2011,"22:30","00:00","Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",1,1000
"Middeleeuws ontbijt en Ontbijt bij Lieven Bauwens","Een arm en een rijk ontbijt, een ontbijt bij Lieven Bauwens. En nieuw dit jaar: een kinderontbijt! Steeds een goede start voor een dag Gentse Feesten. Geen reservatie mogelijk. Wie voor 11.30 uur aanwezig is, wordt zeker bediend. Prijs €5, €9 of €11.",20/07/2011,"08:30","11:30","MIAT, Minnemeers 9, Gent",0,1000
"Werkwinkel ""Eco-juwelen maken uit oude kleding""","Tijdens deze werkwinkel leer je o.a. hoe je van oude t-shirts en restjes stof, knopen, parels... een elegante halsketting e.d. maakt",21/07/2011,"14:00","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Expo 'Ons industrieel verleden'","Duik 250 jaar terug in de tijd. Vergeet alle technologische toepassingen, zoals gsm, computer en ipod. Je belandt in de 18e eeuw en komt vervolgens in de periode van de 1e industriële revolutie met de opkomst van de machine.",20/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"CLUB FM 104.5fm & FAMILYRADIO 105.7fm","10 dagen ""Live"" radio vanop de Gentse Feesten, dagelijks van 15u - 22u.",21/07/2011,"14:00","22:00","Oude Vismijn, Sint-Veerleplein 5, Gent",0,100
"Aan tafel met graaf Pierre Emmanuel d'Hane de Leeuwergem","Het publiek beleeft een dag uit het leven van de familie d'Hane de Leeuwergem en haar personeel in 1778.",24/07/2011,"19:30","21:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Rondvaart ""Gent compleet"" + gratis ijsje. Duur 90 min.","1000 jaar architectuur en verhalen. Leuke & grondige verkenning van héél de stad, met gids per boot. Ook vaart u onder 't Laurentplein. Boottocht op Leie, Lieve, Ketelvaart & Schelde. Tickets afhalen vanaf 1 uur vóór afvaart.",16/07/2011,"14:00","15:30","Aanlegsteiger De Bootjes van Gent-Rederij Dewaele, Korenlei , Gent",0,1000
"Verliefd op Gent, of op het punt het te worden?","Luchtige initiatie-rite tot het statuut van Gentenaar. Sterk aanbevolen voor al wie graag in Gent blijft plakken en zich een muileke Gents wil eigen maken",18/07/2011,"19:00","20:00","Aanlegsteiger De Bootjes Van Gent - Rederij Dewaele, Korenlei , Gent",0,1000
"Zoon","Raf Walschaerts (Kommil Foo) solo op scène in een regie van Ineke Nijssen.",20/07/2011,"19:30","21:30","NTGent Schouwburg, Sint-Baafsplein 17, Gent",1,1000
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",21/07/2011,"16:30","18:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"ALLADIN en de WONDERLAMP, poppentheater met Pierke van Gent","Poppentheater voor families met kinderen. Dit jaar wordt het Oosterse Sprookje 'Alladin en de Wonderlamp' opgevoerd, waar ook Pierke een belangrijke rol in speelt.  Het verhaal is gekend: Alladin een arme jongen wordt een Prins uit 1001 nachten.",18/07/2011,"14:30","16:15","François Laurent Instituut, Onderstraat 10, Gent",1,1000
"Gent op z'n kookpunt (zoektocht zonder gids)","Wat zat er vroeger in de kookpot? Waarom gebruiken we eigenlijk bestek? Hoe ontstond Gentse waterzooi?   Boekje te koop bij Kunstglasramen Mestdagh, Drabstr. 2",22/07/2011,"00:00","00:00","Korenlei 1, Gent",0,50
"De Ark van Noach - Eco-kunst van William Sweetlove","William Sweetlove is een autoriteit op gebied van kunst uit gerecycleerde materialen. Via zijn kunstwerken, die niet wars zijn van een vleugje humor en ironie, pleit hij voor een meer verantwoord-ecologische aanpak van de wereld.",25/07/2011,"10:00","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,100
"De Professor","Mario Fernandez brengt een grappige en leerrijke goochelvoorstelling met een ""échte professor"". Hij doet proeven en toont zijn laatste uitvindingen. Een fascinerende cocktail van proefjes en interessante trucs!  Vanaf 5 jaar.",19/07/2011,"15:00","15:45","Monasterium PoortAckere, Oude Houtlei 56, Gent",1,1000
"Beatniks","Barbaar: Niks van Beats met Dj's Jenz von Trapp, Katia Rock Ahoy (Stubru / Humo) & Koentje",19/07/2011,"00:00","05:55","Charlatan, Vlasmarkt 6, Gent",0,1000
"Kuitbeen (workshop) - WiSPER (BE) - betalend","Een workshop van Isabelle Handschoenserker waarbij de deelnemers op zoek gaan naar beelden en theatrale vormen. Voor wie houdt van beweging en het absurde.",18/07/2011,"14:00","18:00","Astridpark, Ferdinand Lousbergskaai , Gent",0,50
"Tokyo Disco","Zaal: Dj's Pete Herbert & Rakesh",23/07/2011,"01:00","05:55","Charlatan, Vlasmarkt 6, Gent",1,1000
"Tès Goe Weere, Vrie Goe Weere, bij Goe Weere","Shit waar, 2 uure ongeluufelijke kluuterijen, sketchen en liedjes, deur den Ambassadeur van de Gentse Leute en zijn vrienden: Petra, An Fleur en Jan De Raedt. Orkest: 5 Men Band. Gelieve nie 't hoesten aub.",22/07/2011,"20:00","22:30","Cultuurkapel, Sint-Antoniuskaai 10, Gent",1,100
